"Country","Age group","Gender","Ebola measure","Case definition","Indicator type","Data package ID","Data as of","Outbreak identifier","Display Value","Numeric","Low","High","Comments"
"Sierra Leone","","","Number of deaths","Confirmed","Cumulative","Data package 2016-05-11","7 November 2015","EVD West Africa 2014","3589","3589.00000","","","The outbreak in Sierra Leone was declared over on 7 November 2015. Due to ongoing surveillance and retrospective validation of cases and deaths, these totals may be subject to revision."
"Guinea","","","Number of cases","Probable","In past 21 days","Data package 2016-05-11","28 December 2015","EVD West Africa 2014","-","","","","Not applicable."
"Liberia","15-44","Both sexes","Number of cases","Confirmed","Cumulative","Data package 2016-05-11","","","2060","2060.00000","","","Data are until 9 May."
"Sierra Leone","15-44","Both sexes","Number of cases","Confirmed","Cumulative","Data package 2016-05-11","","","5636","5636.00000","","",""
"All countries","","","Number of cases","Suspected","Cumulative","Data package 2016-05-11","","","10 767","10767.00000","","",""
"Liberia","","","Number of cases","Probable","Cumulative","Data package 2016-05-11","8 May 2016","EVD Liberia 2015","Not reported.","","","","Not reported due to the high proportion of probable and suspected cases that are reclassified."
"Guinea","","","Number of deaths","Total","Cumulative","Data package 2016-05-11","8 May 2016","EVD Guinea 2016","8","8.00000","","","Cases and deaths reported after 28 December 2015. "
"Guinea","","","Number of cases","Suspected","In past 21 days","Data package 2016-05-11","28 December 2015","EVD West Africa 2014","-","","","","Not applicable."
"Sierra Leone","","","Number of cases","Total","In past 21 days","Data package 2016-05-11","7 November 2015","EVD West Africa 2014","-","","","","Not applicable. "
"Liberia","","","Number of cases","Suspected","Cumulative","Data package 2016-05-11","8 May 2016","EVD Liberia 2015","Not reported.","","","","Not reported due to the high proportion of probable and suspected cases that are reclassified."
"Liberia","0-14","Both sexes","Number of cases","Confirmed","Cumulative","Data package 2016-05-11","","","561","561.00000","","","Data are until 9 May."
"All countries","","","Number of cases","Probable","Cumulative","Data package 2016-05-11","","","2622","2622.00000","","",""
"Liberia","","","Number of cases","Confirmed","Cumulative","Data package 2016-05-11","9 May 2015","EVD West Africa 2014","3151","3151.00000","","","The outbreak in Liberia was declared over on 9 May 2015. Due to ongoing surveillance and retrospective validation of cases and deaths, these totals may be subject to revision."
"Guinea","","","Number of cases","Probable","Cumulative","Data package 2016-05-11","8 May 2016","EVD Guinea 2016","3","3.00000","","","Cases and deaths reported after 28 December 2015. "
"Liberia","All ages (total)","Female","Number of cases","Confirmed","Cumulative","Data package 2016-05-11","","","1838","1838.00000","","","Data are until 9 May."
"All countries","","","Number of cases","Total","In past 21 days","Data package 2016-05-11","","","0","0.00000","","","This total only includes Guinea, Liberia and Sierra Leone. "
"Sierra Leone","","","Number of cases","Suspected","Cumulative","Data package 2016-05-11","17 March 2016","EVD Sierra Leone 2015","Not reported.","","","","Not reported due to the high proportion of probable and suspected cases that are reclassified."
"Sierra Leone","","","Number of cases","Probable","Cumulative","Data package 2016-05-11","7 November 2015","EVD West Africa 2014","287","287.00000","","","The outbreak in Sierra Leone was declared over on 7 November 2015. Due to ongoing surveillance and retrospective validation of cases and deaths, these totals may be subject to revision."
"Guinea","","","Number of cases","Total","Cumulative","Data package 2016-05-11","8 May 2016","EVD Guinea 2016","10","10.00000","","","Cases and deaths reported after 28 December 2015. "
"Sierra Leone","All ages (total)","Female","Number of cases","Confirmed","Cumulative","Data package 2016-05-11","","","5118","5118.00000","","",""
